network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius
2607:f8b0::/32,5375480,5375480,,0,0,94043,37.4223,-122.0848,5
2001:4860::/32,5375480,5375480,,0,0,94043,37.4223,-122.0848,5
2a01:111::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2603:10a6::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2603:10b6::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2603:10c6::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2603:10d6::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2603:10e6::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2603:10f6::/32,5808079,5808079,,0,0,98052,47.6740,-122.1215,20
2620:10d:c000::/40,5392171,5392171,,0,0,94085,37.3688,-122.0363,10
2620:10d:c000::/44,5392171,5392171,,0,0,94085,37.3688,-122.0363,10
2620:10d:c000::/48,5392171,5392171,,0,0,94085,37.3688,-122.0363,10
2620:109:c000::/44,5392171,5392171,,0,0,94085,37.3688,-122.0363,10
2606:4700::/32,5391959,5391959,,0,0,94107,37.7749,-122.4194,5
2803:f800::/32,5391959,5391959,,0,0,94107,37.7749,-122.4194,5
2405:b500::/32,5391959,5391959,,0,0,94107,37.7749,-122.4194,5
2400:cb00::/32,5391959,5391959,,0,0,94107,37.7749,-122.4194,5
2620:149::/32,5341145,5341145,,0,0,95014,37.3230,-122.0322,10
2a01:b740::/32,5341145,5341145,,0,0,95014,37.3230,-122.0322,10
2600:1f00::/24,4744870,4744870,,0,0,20147,39.0438,-77.4874,25
2a05:d000::/26,2925533,2925533,,0,0,60311,50.1109,8.6821,25
2406:da00::/28,5809844,5809844,,0,0,98101,47.6062,-122.3321,25
2a04:4e40::/32,5391959,5391959,,0,0,94107,37.7749,-122.4194,10
2604:a880::/32,5391959,5391959,,0,0,94107,37.7749,-122.4194,10
2600:1400::/28,5809844,5809844,,0,0,98101,47.6062,-122.3321,15
2001:500::/32,5809844,5809844,,0,0,98101,47.6062,-122.3321,15
2001:4998::/32,5392171,5392171,,0,0,94089,37.3688,-122.0363,15
2001:4998:c000::/36,5392171,5392171,,0,0,94089,37.3688,-122.0363,15
2a0b:3e00::/32,2925533,2925533,,0,0,60311,50.1109,8.6821,20
2001:67c:289c::/48,727011,727011,,1,0,1000,42.6977,23.3219,20
2a01:4f8::/32,2925533,2925533,,0,0,60311,50.1109,8.6821,25
